id,candidate,sku,supply_local,buy_gbp,filtered_ask_median_gbp,clean_comps_n,raw_comps_n,est_cm_at_0.75,flags,supply_url,sold_check_url,match_status,match_query_used,match_confidence,match_notes,manual_sold_median,manual_sold_90d,manual_verdict,manual_notes
64,Cotopaxi Repleto Down Jacket,CDJ-F25-CPBLK-M-L,USD 74.00,54.19,136.77,40,50,26.01,,https://cotopaxi.com/products/repleto-down-jacket-mens?variant=42450844614717,https://www.ebay.co.uk/sch/i.html?_nkw=Cotopaxi+Repleto+Down+Jacket&LH_Sold=1&LH_Complete=1,,,,,,,,
65,Skullcandy US Icon ANC Bone,S5IOW-S951,USD 59.99,43.93,117.37,4,50,22.74,SCARCITY,https://skullcandy.com/products/icon-anc?variant=43838997069881,https://www.ebay.co.uk/sch/i.html?_nkw=Skullcandy+US+Icon+ANC+Bone&LH_Sold=1&LH_Complete=1,,,,,,,,
66,Cotopaxi Mente 22L Tote,MT22-F25-FJD,USD 70.00,51.26,128.15,1,42,22.28,SCARCITY;THIN n<3,https://cotopaxi.com/products/mente-22l-tote-2?variant=43331411705917,https://www.ebay.co.uk/sch/i.html?_nkw=Cotopaxi+Mente+22L+Tote&LH_Sold=1&LH_Complete=1,,,,,,,,
67,Cotopaxi Todo 3L Bucket Bag,T3-F25-BRNZ,USD 20.00,14.65,66.64,1,8,21.45,SCARCITY;THIN n<3,https://cotopaxi.com/products/todo-3l-bucket-bag-cada-dia?variant=43029581627453,https://www.ebay.co.uk/sch/i.html?_nkw=Cotopaxi+Todo+3L+Bucket+Bag&LH_Sold=1&LH_Complete=1,,,,,,,,
68,Cotopaxi Fuego Down Pant,FDP-F25-CPCBN-M-XL,USD 112.50,82.38,164.76,1,5,15.80,THIN n<3,https://cotopaxi.com/products/fuego-down-pant-mens-redesign?variant=42450888720445,https://www.ebay.co.uk/sch/i.html?_nkw=Cotopaxi+Fuego+Down+Pant&LH_Sold=1&LH_Complete=1,,,,,,,,
69,Cotopaxi Fuego Down Overall,FDO-F25-CBNST-M-L,USD 114.00,83.48,164.76,1,1,14.38,THIN n<3,https://cotopaxi.com/products/fuego-down-overall-mens-redesign?variant=42450888163389,https://www.ebay.co.uk/sch/i.html?_nkw=Cotopaxi+Fuego+Down+Overall&LH_Sold=1&LH_Complete=1,,,,,,,,
70,Rightline Gear Sport Jr Cargo Carrier,100S50,USD 65.99,48.32,124.84,3,6,11.37,SCARCITY,https://klymit.com/products/rightline-gear-sport-jr-waterproof-rooftop-cargo-carrier?variant=53302569369968,https://www.ebay.co.uk/sch/i.html?_nkw=Rightline+Gear+Sport+Jr+Cargo+Carrier&LH_Sold=1&LH_Complete=1,,,,,,,,
71,Cotopaxi Coraje Tech Cargo Pant,CTCP-S25-CBN-M-L,USD 46.00,33.68,72.50,1,17,5.69,THIN n<3,https://cotopaxi.com/products/coraje-tech-cargo-pant-mens-copy?variant=42911709495357,https://www.ebay.co.uk/sch/i.html?_nkw=Cotopaxi+Coraje+Tech+Cargo+Pant&LH_Sold=1&LH_Complete=1,,,,,,,,
