id,candidate,sku,supply_local,buy_gbp,filtered_ask_median_gbp,clean_comps_n,raw_comps_n,est_cm_at_0.75,flags,supply_url,sold_check_url,match_status,match_query_used,match_confidence,match_notes,manual_sold_median,manual_sold_90d,manual_verdict,manual_notes
59,Chemical Guys Leather Care Starter Kit,SPI_109_04,USD 12.99,9.51,60.68,5,50,21.76,SCARCITY,https://chemicalguys.com/products/leather-cleaner-conditioner-complete-leather-care-kit?variant=50015543886129,https://www.ebay.co.uk/sch/i.html?_nkw=Chemical+Guys+Leather+Care+Starter+Kit&LH_Sold=1&LH_Complete=1,,,,,,,,
60,Chemical Guys Foam Wash Starter Kit,VIR607,USD 75.99,55.65,132.34,6,50,20.64,SCARCITY,https://chemicalguys.com/products/exterior-car-wash-starter-kit-with-foam-blaster?variant=53155500851505,https://www.ebay.co.uk/sch/i.html?_nkw=Chemical+Guys+Foam+Wash+Starter+Kit&LH_Sold=1&LH_Complete=1,,,,,,,,
61,Chemical Guys Car Wash Accessories Bundle,VIR645,USD 25.99,19.03,65.90,1,50,14.57,SCARCITY;THIN n<3,https://chemicalguys.com/products/car-wash-accessories-bundle?variant=53885340123441,https://www.ebay.co.uk/sch/i.html?_nkw=Chemical+Guys+Car+Wash+Accessories+Bundle&LH_Sold=1&LH_Complete=1,,,,,,,,
62,Chemical Guys Basic Wash and Wax Kit,VIR503,USD 35.99,26.35,72.47,1,50,11.47,SCARCITY;THIN n<3,https://chemicalguys.com/products/basic-wash-and-wax-kit?variant=51260711239985,https://www.ebay.co.uk/sch/i.html?_nkw=Chemical+Guys+Basic+Wash+and+Wax+Kit&LH_Sold=1&LH_Complete=1,,,,,,,,
63,Chemical Guys Black Car Care Starter Kit,VIR605,USD 69.99,51.25,111.16,1,50,11.43,SCARCITY;THIN n<3,https://chemicalguys.com/products/black-car-care-starter-kit?variant=53143671243057,https://www.ebay.co.uk/sch/i.html?_nkw=Chemical+Guys+Black+Car+Care+Starter+Kit&LH_Sold=1&LH_Complete=1,,,,,,,,
