product,variant,condition_src,price_gbp,sku,handle,url,n_raw,n_match,ebay_p25_gbp,cm_gbp,status
Galaxy Z Fold7 5G 512GB,Blue Shadow / Good Condition,Good Condition,909.36,SSFO7-512GB-BLU-FA,samsung-galaxy-z-fold7-5g-512gb,https://www.reboxed.co/products/samsung-galaxy-z-fold7-5g-512gb?variant=55445283438968,26,7,499.99,-458.02,REJECT_CM
Samsung Galaxy Tab S10 Ultra WiFi 512GB,Platinum Silver / Excellent Condition,Excellent Condition,904.79,GTABSS10-ULTRAW-512GB-PS-MI,samsung-galaxy-tab-s10-ultra-wifi-512gb,https://www.reboxed.co/products/samsung-galaxy-tab-s10-ultra-wifi-512gb?variant=55589803000184,31,3,720.0,-251.25,REJECT_CM
Samsung Galaxy Tab S10 Ultra WiFi + Cellular 512GB,Moonstone Grey / Excellent Condition,Excellent Condition,886.43,GTABSS10-ULTRAWC-512GB-MG-MI,samsung-galaxy-tab-s10-ultra-wifi-cellular-512gb-1,https://www.reboxed.co/products/samsung-galaxy-tab-s10-ultra-wifi-cellular-512gb-1?variant=55589805752696,32,0,,,NO_MATCH
Samsung Galaxy Tab S9 Ultra WiFi + Cellular 512GB,Graphite / Good Condition,Good Condition,873.59,GTABS9UWC-512GB-GP-FA,samsung-galaxy-tab-s9-ultra-wifi-cellular-512gb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-ultra-wifi-cellular-512gb?variant=55589783896440,33,0,,,NO_MATCH
Galaxy S25 Ultra 1TB,Titanium Whitesilver / Pristine,Pristine,864.6,SS25-1TB-TW-LN,samsung-galaxy-s25-ultra-1tb,https://www.reboxed.co/products/samsung-galaxy-s25-ultra-1tb?variant=55011804512632,22,18,710.5,-219.79,REJECT_CM
Galaxy Z Fold7 5G 256GB,Jetblack / Good Condition,Good Condition,851.2,SSFO7-256GB-BLK-FA,samsung-galaxy-z-fold7-5g-256gb,https://www.reboxed.co/products/samsung-galaxy-z-fold7-5g-256gb?variant=55445281079672,31,10,499.99,-399.86,REJECT_CM
iPhone 15 Pro 512GB,White Titanium / Excellent Condition / New Battery,New Battery,849.0,IP15P-512GB-WH-MI-NB,apple-iphone-15-pro-512gb,https://www.reboxed.co/products/apple-iphone-15-pro-512gb?variant=55597259719032,50,37,525.0,-374.68,REJECT_CM
Galaxy Z Flip7 5G 512GB,Coralred / Good Condition,Good Condition,840.0,SSFL7-512GB-RED-FA,samsung-galaxy-z-flip7-5g-512gb,https://www.reboxed.co/products/samsung-galaxy-z-flip7-5g-512gb?variant=55445370929528,50,2,369.99,-508.14,REJECT_CM
Samsung Galaxy Tab S9+  WiFi + Cellular 512GB,Graphite / Excellent Condition,Excellent Condition,839.99,GTABS9PWC-512GB-GP-MI,samsung-galaxy-tab-s9-plus-wifi-cellular-512gb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-plus-wifi-cellular-512gb?variant=55589771379064,35,0,,,NO_MATCH
Samsung Galaxy Tab S9 Ultra WiFi + Cellular 256GB,Graphite / Good Condition,Good Condition,795.19,GTABS9UWC-256GB-GP-FA,samsung-galaxy-tab-s9-ultra-wifi-cellular-256gb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-ultra-wifi-cellular-256gb?variant=55589783765368,33,2,521.8,-323.81,REJECT_CM
