gtin,source_domains,source_categories,source_products,gb_status,gb_active_total,gb_exact_items,gb_coherent,gb_usable_market,gb_median_price,gb_currency,us_status,us_active_total,us_exact_items,us_coherent,us_usable_market,us_median_price,us_currency
198965964823,kith.com,Low Top Sneakers,Nike Kobe 5 Protro - Rush Blue / Wolf Gray / Comet Red,UNCONFIRMED,1,0,0,0,,,UNCONFIRMED,1,0,0,0,,
198966033962,kith.com,Low Top Sneakers,Nike Kobe 5 Protro - Rush Blue / Wolf Gray / Comet Red,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
198966068148,kith.com,Low Top Sneakers,Nike Kobe 5 Protro - Rush Blue / Wolf Gray / Comet Red,NOT_FOUND,0,0,0,0,,,UNCONFIRMED,1,0,0,0,,
5063699560229,gymshark.com,Womens>Apparel>Shorts>tight,Gymshark Lift Seamless 2.0 Mid-Rise Shorts - Chilled Blue,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
5063699658360,gymshark.com,Womens>Apparel>Jackets / Outerwear>track_top,Gymshark Gingham Track Jacket - Indigo Purple/Soft White,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
5063699658599,gymshark.com,Womens>Apparel>Jackets / Outerwear>track_top,Gymshark Gingham Track Jacket - Indigo Purple/Soft White,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
612292255374,thejamesbrand.com,Knife + Tool,The Halifax,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
657768581915,klymit.com,WaterPORT Accessories,Nozzle Holder,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
661814809199,www.tentree.com,Accessories,Wool Kurt Beanie,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
661814843858,www.tentree.com,Womens,Wildfire Retro Treeline Relaxed Hoodie,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
661814843872,www.tentree.com,Womens,Wildfire Retro Treeline Relaxed Hoodie,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
661814843896,www.tentree.com,Womens,Wildfire Retro Treeline Relaxed Hoodie,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
661814857596,www.tentree.com,Womens,Denim Tern Dress,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
700953599070,thinkcrucial.com,"Heating, Cooling, & Air Quality","Crucial Air Filter Replacement Parts Compatible With ReliOn Part # WF813 - Fits ReliOn WF813 2-Pack Humidifier Wicking Filters, Fits ReliOn RCM832 (RCM-832) RCM-832N, DH-832 and DH-830 Vac",NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
700953607522,thinkcrucial.com,Vacuum & Floor Care,"Replacement Bags, Fits Eureka BV-2 (BV2) Sanitaire, Compatible with Part 62370",NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
805080076163,www.vessi.com,Clothing,Men's Coastal Hoodie - Black,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
805080083017,www.vessi.com,Shoes,Men's Stormburst High Top - Sandwash/Dark Teak,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
805080100295,www.vessi.com,Shoes,Women's Weekend Neo - Rome,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
810058491688,materialkitchen.com,,The Resting Stone,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
810074419215,wandp.com,Home & Garden > Kitchen & Dining,Reusable Stretch Produce Savers,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
810086363612,satechi.net,,Slim CEX1 Wireless Combo,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
810142481670,fromourplace.co.uk,cookware,Wonder Oven,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
810189130937,twelvesouth.co.uk,Audio Accessories,AirFly Pro 2,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
810189131255,twelvesouth.co.uk,Audio Accessories,AirFly Pro 2,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
810189131477,twelvesouth.co.uk,Audio Accessories,AirFly Pro 2,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
810203130264,rumpl.com,Merino SoftWool,Merino Softwool Throw Blanket - Playa Fade,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
811370025018,twelvesouth.com,Power,ButterFly 2-in-1 MagSafe Charger,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
811370025667,twelvesouth.co.uk,Audio Accessories,AirFly Pro 2,NOT_FOUND,0,0,0,0,,,AMBIGUOUS,4,3,0,0,54.99,USD
812515032434,rokform.com,Apple Cases,iPhone 15 Pro Max Rugged Case,NOT_FOUND,0,0,0,0,,,EXACT_SHALLOW,1,1,1,0,69.99,USD
816549025516,corkcicle.com,Tumbler,Rifle Paper Co. Tumbler,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
840171765427,case-mate.com,iPhone 17 Pro,Kendra Scott Raspberry Pearl MagSafe - iPhone 17 Pro,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
840228804604,fellowproducts.com,Kettles,Corvo EKG Electric Kettle,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
840228804888,fellowproducts.com,Food Storage Containers,Atmos Vacuum Canister,AMBIGUOUS,2,1,0,0,88.27,GBP,AMBIGUOUS,2,1,0,0,100.36,USD
840228808046,fellowproducts.com,Kettles,Corvo EKG Electric Kettle,EXACT_SHALLOW,1,1,1,0,131.92,GBP,EXACT_SHALLOW,1,1,1,0,149.99,USD
841916193314,chromeindustries.com,Accessories,Cycling Cap 2.0,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
846654079104,nativeunion.com,Slings,City Sling I Emilie Sarnel Limited Edition,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
846654082944,nativeunion.com,iPhone Cases,Leopard Case for iPhone 16,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
846654086638,nativeunion.com,Power Adapters,Fast GaN Charger PD 100W,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
846885010952,thehouseofmarley.com,Audio Accessories,REWIND® USB-C to USB-A Charging Cable - 3M,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
846885011300,thehouseofmarley.com,Earbuds,Little Bird True Wireless Earbuds,UNCONFIRMED,1,0,0,0,,,NOT_FOUND,0,0,0,0,,
847974009925,goalzero.com,,Alta Electric Cooler Power Supply,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
850005360865,www.beardbrand.com,Utility Bar,Temple Smoke Utility Bar 3-Pack,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
850006103669,bioliteenergy.com,,Goal Zero Yeti 1500 + 400W Solar Generator,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
850045850159,www.beardbrand.com,Sea Salt Spray,Bold Fortune Sea Salt Spray,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
850073414910,rumpl.com,Printed Original,Original Puffy Blanket - Crystal Worl - Our Clan Opposites,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
852212007465,fellowproducts.com,Food Storage Containers,Atmos Vacuum Canister,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
852212007762,fellowproducts.com,Food Storage Containers,Atmos Vacuum Canister,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
853086007704,distilunion.com,modstation,Ferris ModStation,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
853707007687,misen.com,Serrated Knife,Serrated Knife (AUS-8) - Final Sale,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
858160003351,kenu.com,Car Charger,Dualtrip | Dual USB Car Charger | 4.8A 24W With ULTRA-FAST Technology,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
9348943017831,quadlockcase.com,Mounts,Golf/Stroller/Pram - Quick Release Strap Mount,NOT_FOUND,0,0,0,0,,,EXACT_SHALLOW,1,1,1,0,24.99,USD
9359936113799,www.culturekings.com,Hood,Saint Morta SSIX Vintage Hoodie Vintage Orange,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
9359936458609,www.culturekings.com,SS-Tees,American Thrift New Standard T-Shirt Black Acidwash,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
9359936458616,www.culturekings.com,SS-Tees,American Thrift New Standard T-Shirt Black Acidwash,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
94560602,www.brooklinen.com,Sheets,Washed European Linen Dreamweave Starter Bundle,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
