domain,currency,title,mpn,price,sku,url
www.itinstock.com,GBP,HP 642 G3 Rack 42U 600mm x 1075mm Enterprise Server Cabinet Enclosure BW904A,1075MM,712.5,BW904A/REF,https://www.itinstock.com/products/hp-642-g3-rack-42u-600mm-x-1075mm-enterprise-server-cabinet-enclosure-bw904a
www.itinstock.com,GBP,Juniper QFX10000-RE Routing Engine For QFX10008 QFX10016 Chassis,QFX10000-RE,712.5,QFX10000-RE/REF,https://www.itinstock.com/products/juniper-qfx10000-re-routing-engine-for-qfx10008-qfx10016-chassis
www.serverpartdeals.com,USD,Western Digital Ultrastar DC HC580 WUH722422AL5204 0F62791 22TB 7.2K RPM SAS 12Gb/s 512e 512MB 3.5in Refurbished HDD,WUH722422AL5204,689.0,WUH722422AL5204-0F62791_SR,https://www.serverpartdeals.com/products/western-digital-ultrastar-dc-hc580-wuh722422al5204-0f62791-22tb-7-2k-rpm-sas-12gb-s-512e-512mb-3-5-refurbished-hdd
www.tier1online.com,USD,Dell Tower ECT1250 Intel Core i5-14400 [10-Core] 3.50GHz HDMI USB-C 16GB DDR5 1TB NVMe Refurbished,ECT1250,679.0,292-Dell-Tower-ECT1250,https://www.tier1online.com/products/dell-tower-ect1250-i5-14400-10-core-16gb-ddr5-1tb-nvme
www.serverpartdeals.com,USD,Seagate Nytro 3350 XS3840SE70055 3.84TB 1 DWPD SAS 12Gb/s 3D eTLC 2.5in IBM SSD,XS3840SE70055,669.0,XS3840SE70055-IBM_NB,https://www.serverpartdeals.com/products/seagate-nytro-3350-xs3840se70055-3-84tb-1-dwpd-sas-12gb-s-3d-etlc-2-5in-ibm-ssd
www.itinstock.com,GBP,Cisco Nexus N9K-C93108TC-FX 48x 10G RJ45 6x 100G QSFP28 1U B2F Managed Switch,N9K-C93108TC-FX,665.0,N9K-C93108TC-FX/REF,https://www.itinstock.com/products/cisco-nexus-n9k-c93108tc-fx-48x-10g-rj45-6x-100g-qsfp28-1u-b2f-managed-switch
www.itinstock.com,GBP,Fujitsu LPe32002 Dual 32Gb/s Fibre Channel Controller MMF LC PCIe 2 x SFP,LPE32002,665.0,A3C40201684/REF,https://www.itinstock.com/products/fujitsu-lpe32002-dual-32gb-s-fibre-channel-controller-mmf-lc-pcie-2-x-sfp
www.itinstock.com,GBP,NEW Dell PowerEdge 17th Gen 1500W 80 Plus Titanium Power Supply PSU GRD17 0GRD17,0GRD17,665.0,GRD17/NEW,https://www.itinstock.com/products/new-dell-poweredge-17th-gen-1500w-80-plus-titanium-power-supply-psu-grd17-0grd17
www.itinstock.com,GBP,Dell PowerVault MD3620f Storage Array 24-Bay With 8G FC Controller 2x PSU,MD3620F,665.0,MD3620F-24SFF-SC/REF,https://www.itinstock.com/products/dell-powervault-md3620f-storage-array-24-bay-with-8g-fc-controller-2x-psu
www.itinstock.com,GBP,"Dell 3.84TB SATA 6G Read Intensive Enterprise PM883a Series 2.5"" SSD 5TVXD",PM883A,665.0,5TVXD/REF,https://www.itinstock.com/products/dell-3-84tb-sata-6g-read-intensive-enterprise-pm883a-series-2-5-ssd-5tvxd
www.itinstock.com,GBP,Intel SRKHM Xeon Gold 6330 28-Core 2.0GHz 205W TDP 42MB LGA4189 CPU Processor,28-CORE,655.5,SRKHM/REF,https://www.itinstock.com/products/intel-srkhm-xeon-gold-6330-28-core-2-0ghz-205w-tdp-42mb-lga4189-cpu-processor
www.itinstock.com,GBP,Cisco Catalyst C9400-SUP-1XL Supervisor Module 8x 10GE SFP+ + 2x 40GE QSFP+ Port,C9400-SUP-1XL,655.5,C9400-SUP-1XL/REF,https://www.itinstock.com/products/cisco-catalyst-c9400-sup-1xl-supervisor-module-8x-10ge-sfp-2x-40ge-qsfp-port-1
www.itinstock.com,GBP,Juniper QFX10000-30C 30x 40GbE QSFP+/30x 100GbE QSFP28/96x 10GbE QSFP+ Line Card,QFX10000-30C,636.5,QFX10000-30C/REF,https://www.itinstock.com/products/juniper-qfx10000-30c-30x-40gbe-qsfp-30x-100gbe-qsfp28-96x-10gbe-qsfp-line-card
www.tier1online.com,USD,"HP EliteBook 840 G10 i5-1335U [10-Core] 3.40GHz 14"" WUXGA (1920x1200) IPS HDMI USB-C 16GB DDR5 256GB NVMe Refurbished",I5-1335U,629.0,1-HP-840-G10-i5-B,https://www.tier1online.com/products/hp-elitebook-1040-g10-i5-1335u-10-core-3-90ghz-14-wuxga-16gb-ddr5-256gb-grade-b
www.itinstock.com,GBP,New Dell 960GB PCIe 4.0 NVMe ISE 512e TLC RI M.2 SSD 4H05X HFS960GEJ8X167N,HFS960GEJ8X167N,617.5,4H05X/NEW,https://www.itinstock.com/products/new-dell-960gb-pcie-4-0-nvme-ise-512e-tlc-ri-m-2-ssd-4h05x-hfs960gej8x167n-2
www.itinstock.com,GBP,"Supermicro CSE-847 X10DRi-T4+ Xeon E5-2600v3/v4 36 x 3.5"" Bay 4U Storage Server",CSE-847,617.5,CSE-847-36LFF/REF,https://www.itinstock.com/products/supermicro-cse-847-x10dri-t4-xeon-e5-2600v3-v4-36-x-3-5-bay-4u-storage-server
www.itinstock.com,GBP,"Dell Compellent 3.84TB 12G SAS RI TLC 2.5"" SSD MZ-ILS3T8B 4NMJF 04NMJF In Caddy",MZ-ILS3T8B,617.5,4NMJF-CL/REF,https://www.itinstock.com/products/dell-compellent-3-84tb-12g-sas-ri-tlc-2-5-ssd-mz-ils3t8b-4nmjf-04nmjf-in-caddy-1
www.itinstock.com,GBP,IBM TS3200 48-Slot 4U Tape Library 3573-L4U Up to 4 Drives *No Drives Installed*,TS3200,617.5,3573-L4U/REF,https://www.itinstock.com/products/ibm-ts3200-48-slot-4u-tape-library-3573-l4u-up-to-4-drives-no-drives-installed-1
www.itinstock.com,GBP,HPE P9K10A 42U 600mm x 1200mm G2 Kitted Advanced Shock Rack Cabinet - NO SIDES,P9K10A,612.75,P9K10A-NOSIDES/REF,https://www.itinstock.com/products/hpe-p9k10a-42u-600mm-x-1200mm-g2-kitted-advanced-shock-rack-cabinet-no-sides
www.itinstock.com,GBP,Fujitsu FC 4G2P DX60 RAID Controller Module Unit For Eternus DX60 - CA07145-C621,CA07145-C621,598.5,CA07145-C621/REF,https://www.itinstock.com/products/fujitsu-fc-4g2p-dx60-raid-controller-module-unit-for-eternus-dx60-ca07145-c621
